; AutoGen 1.5 recognition database recovered from DirectAccess 5.19
; primary|support file 1|support file 2|program|category|company
; A blank support field means no additional identification file is required.

ABILITY.BAT|A.EXE||Ability|Integrated|Migent Software Corp.
APLUS.EXE|APLUS.OVL|APSPL.OVL|Ability Plus|Integrated|Migent Software Corp.
AP.EXE|AR.EXE||Account Mate: Accounts|Applications|Sourcemate Information Service
GL.EXE|MI.EXE||Account Mate: General|Applications|Sourcemate Information Service
MI.EXE|OI.EXE||Account Mate: Inventory|Applications|Sourcemate Information Service
PO.EXE|OI.EXE||Account Mate: Purchase|Applications|Sourcemate Information Service
TAP3.EXE|||Accounting Partner III|Applications|Star Software Systems, Inc.
+.EXE|||Accpac Plus|Applications|Computer Associates
CMS.EXE|CMS.COM||Act I Accounting|Applications|Cougar Mountain Software
ACT.EXE|ACT.HLP||Act!|Project Mgmt|Conductor Software, Inc.
PLANNER.EXE|PLANNER.DEF|PLANNER.INS|Action Planner|Project Mgmt|Power Up Software Corp.
AB.EXE|AP.PRN||Address Book Plus|Applications|Power Up Software Corp.
AFT.EXE|TITLE.PIC|CRASH.PIC|Advanced Flight Trainer|Games|Electronic Arts
AREV.EXE|REVBOOT||Advanced Revelation|Utilities|Cosmos
AREV.EXE|REVBOOT||Advanced Revelation|Applications|Revelation Technologies, Inc.
ALGEBRA.EXE|BORDER.PIC|CANDY.PIC|Algebra Shop|Education|Scholastic, Inc.
A4.EXE|A4.DFL|PRINTER.DTA|Alpha Four|Databases|Alpha Software Corp.
A3.COM|A3MAIN.EXE|A3VIEW.EXE|Alpha Three|Databases|Alpha Software Corp.
AWORKS.EXE|AWORKS.DB|AWORKS.SS|Alphaworks|Integrated|Alpha Software Corp.
AMI.EXE|!OVRHD1.STY|!AMI.STY|Ami|Windows Apps|Samna Corp.
AMORT.EXE|A3.EXE||Amortizer III|Applications|Good Software Corp.
APLUS.EXE|APLISU.CFG||Amortizer Plus|Applications|Good Software Corp.
ANALYST.EXE|||Analyst|Applications|Structured Systems Group
ANALY.EXE|||Analyticalc|Spreadsheets|General Cybernetic Engineering
APPLY.EXE|||Apply - Process Job|Applications|Bonner & Moore Associates, Inc
ARRIBA.EXE|ALOADED.EXE|ATSR.EXE|Arriba|Applications|Good Software Corp.
ART.COM|||Art - Artificial Art|Graphics|Inference Corp.
ARTFILE.EXE|||Art File - Article|Applications|Frambach Software Systems
NEGO.EXE|NEGO.GEN|NEGO.MOD|Art Of Negotiating|Education|Experience In Software, Inc.
A&L_EDIT.EXE|||Arts & Letters Editor|Desktop Publish|Computer Support Corp.
ATERM.EXE|ATERM.CNF||Aterm|Communications|DMA
ACAD.EXE|||AutoCAD|Applications|Autodesk, Inc.
AA.EXE|AA.CFG|AAPLAY.EXE|Autodesk Animator|Applications|Autodesk, Inc.
AUTODIM.EXE|||Autodimension|Applications|Generic Software, Inc.
AM.EXE|CYCOLOGO.DWG||Automanager|Graphics|Cyco Automation
SKETCH.EXE|||Autosketch|Applications|Autodesk, Inc.
AWARD.EXE|AWARDIT.PIC||Award Maker Plus|Desktop Publish|Baudville, Inc.
BACKIT.EXE|||Back It - Hard Disk|Utilities|Gazelle Systems
BCKCOMON.EXE|||Backgammon|Games|Personally Developed Software
BACKPAK.EXE|||Backpak|Utilities|California Software Products
BOP.EXE|||Balance Of Power|Windows Apps|Mindscape, Inc.
BM.EXE|BM.OVL|BMUIFIL.DAT|Bank Mate|Applications|Pratical Software, Inc.
BSW.EXE|KEYS.BSW||Bank Street Writer Plus|Word Processing|Broderbund Software, Inc.
BANNER.EXE|BANNER.BRN||Banner|Applications|Broderbond Software, Inc.
BG.EXE|BG001.DAT|BG011.DAT|Bar Games|Games|Accolade
SATIA.EXE|DSTUDYIA.EXE||Barron's S.A.T.|Education|Barron's Educational Series
BW.COM|||Battery Watch|Utilities|Traveling Software, Inc.
CHESS.EXE|ALLCANM1|ALLCANM2|Battle Chess|Games|Interplay
BEDFORD.EXE|||Bedford Integrated|Applications|Bedford Software
BIBLIO.EXE|||Biblio|Word Processing|Personal Bibliographic Softwar
BIGPRINT.COM|||Bigprint Double|Utilities|ATC Software
BITCOM.EXE|COMM.DAT|COMM.GLO|Bitcom|Communications|Bit Software, Inc.
COTOPX.EXE|||Bitstream Fontware|Word Processing|Bitstream, Inc.
BOARDGAM.EXE|||Board Games Selection|Games|Keypunch Software
BCALC.EXE|BCALC.HLP|BCALC.MSG|Boeing Calc|Spreadsheets|Boeing Company
COOKBOOK.EXE|BAI.INI||Bon Appetit Cookbook|Applications|Pinpoint Publishing
BOOKMARK.COM|||Bookmark|Utilities|Intellisoft Int'l
BC.EXE|BCINST.EXE|PRJ2MAK.EXE|Borland C++|Programming|Borland international
NVOICE.EXE|NVOFIG.EXE|TERM.TER|Boss - Invoicing Module|Applications|Balcones Computer Corp.
ACCOUNT.EXE|CHART.ACT|JORDIR.ACT|Boss Financial Account.|Applications|Balcones Computer Corp.
BOWL.EXE|BOWLING.CNF|BWNSTL.OVR|Bowling League Secret.|Applications|CDE Software
BOWL.COM|BOWL.000|BOWL.001|Bowling League Secret.|Applications|Lloyd C. Bowen, Jr.
BOYAN.COM|||Boyan D3 Communic.|Communications|Boyan Communications
CBPI.EXE|C99MENU.EXE||BPI General Accounting|Applications|BPI Systems, Inc.
BRIDGE.EXE|||Bridge|Games|Artworx Software Co., Inc.
BRIEF.EXE|STARTUP.COM||Brief|Word Processing|Solution Systems
F.EXE|F.HLP|F.CNS|Brooklyn Bridge|Communications|Fifth Generation Systems, Inc.
ED.EXE|MANUAL1.CPR|MANUAL2.CPR|Brown Bag Word Proces.|Word Processing|Software Resource Group, Inc.
BUDG.EXE|||Budgetrak|Applications|Software Associates Laboratori
BUREAUCR.COM|BUREAUCR.DAT||Bureaucracy|Games|Infocom, Inc.
CYMA3.EXE|CYMSG||Business Accounting|Applications|Cyma/Worldwide Technology
BP.EXE|SF.VAR|BUSPLAN.VOL|Business Plan|Applications|PSI Research
BYLINE.COM|BYLINE.HLP||Byline|Desktop Publish|Ashton-Tate
CALC2.EXE|||Calc2|Applications|Expressware
CALC.COM|CALC.HLP||Calculator|Applications|Wordperfect Corp.
CCPLUS.EXE|CCPLUS.FNT|CCPLUS.HLP|Calendar Creator Plus|Desktop Publish|Power Up Software Corp.
CC.EXE|CC30.CFG||Carbon Copy Plus|Communications|Microcom Software Division
CARMEN.EXE|CARMEN.DAT|DETECTIV.DAT|Carmen Sandiego|Education|Broderbund Software, Inc.
CASHFLOW.EXE|||Cashflow|Applications|Cashflow Software
CTGRAF.EXE|||Cashtrac|Applications|Sublogic Corp.
CASHTRAC.EXE|||Cashtrack - Home|Applications|Sublogic Corp.
GATEWAY.EXE|GWADMEND.EXE||cc:Mail Gateway|Communications|cc:Mail, Inc.
MAIL.EXE|NOTIFY.COM|MESSENGR.EXE|cc:Mail LAN|Communications|cc:Mail, Inc.
REMOTE.EXE|SNAPSHOT.COM||cc:Mail Remote|Communications|cc:Mail, Inc.
CCSD.EXE|||CCS Designer|Applications|Magellan Group, Inc.
CELB.EXE|CELB.FC||Celebrity|Word Processing|Good Software Corp.
QUICK.EXE|SAT.EXE||Certus|Utilities|FoundationWare
GR-BG2.EXE|||Championship Backgammon|Games|Spinnaker Software
CM.EXE|BRUN11B.EXE||Chart-Master|Graphics|Ashton-Tate
CHECKIT.EXE|CHECKIT.CNF|CHECKIT.OVL|CheckIt|Utilities|TouchStone Software Corp
CM.COM|CM.OVL|CM.000|CheckMate|Applications|Custom Technologies
CMATE.EXE|REPORT.EXE|HOSPITAL.DAT|CHECKMATE|Applications|Logicare Corporation
CMATEN.EXE|REPORTN.EXE|HOSPITAL.DAT|CHECKMATE - NETWORK|Applications|Logicare Corporation
CMGL.COM|CMGL.OVL|CMGL.000|CheckMate-GL|Applications|Custom Technologies
CHECKOUT.EXE|CHECKOUT.SET||CheckOut|Applications|Logicare Corporation
CHECK31N.EXE|MANAGERN.EXE|HOSPITAL.DAT|CHECKOUT - NETWORK|Applications|Logicare Corporation
CHECK31.EXE|MANAGER.EXE|HOSPITAL.DAT|CHECKOUT Version 3|Applications|Logicare Corporation
CHECK.EXE|CHKS&BAL.CNF|CBNSTL.OVR|Checks & Balances|Applications|CDE Software
CHCKBDGT.COM|||Checks And Budgets|Applications|Parsons Technology
CHESS.EXE|CHESS1.OVL||Chess Master 2000|Games|Software Toolworks, Inc.
2100.EXE|SYSTEM01.FNT||Chess Master 2100|Games|Software Toolworks, Inc.
PROX.EXE|PROXMTY.CFG||Choice Words|Word Processing|Proximity Technology, Inc.
CWI.EXE|CWRAL.EXE||Civil War|Games|Avalon Hill
CLARION.COM|CLARION.OBJ||Clarion Professional|Databases|Clarion Software
SCRAP.EXE|F1.HLH||Clickart Scrapbook+|Desktop Publish|T/MAKER
CLIPPER.COM|||Clipper|Databases|Nantucket Corp.
CLIPPER.EXE|||Clipper|Databases|Nantucket Corp.
CUSTOMER.COM|||Close-up|Communications|Norton-Lambert Corp.
SESSION.BAT|SESSION.CFG||Co/Session|Communications|Triton Technologies, Inc.
COBRA.BAT|EVCALCS.EXE|CAGGREG.EXE|Cobra|Applications|Welcom Software Technology
